A02AD01 Magnesio idrossido/algeld 020702054 MAALOX 40 cpr mast 800 mg SANOFI-AVENTIS RR 2,17 2,16
M01AE01 Ibuprofene 024635106 ARFEN 6 fiale IM 3 ml 400 mg/3ml LISAPHARMA RR 4,34 4,31
M01AE01 Ibuprofene 024635029 ARFEN 30 cpr 500 mg 66 LISAPHARMA RR 4,49 4,46
M01AE01 Ibuprofene 022593127 BRUFEN 30 cpr riv 400 mg 66 ABBOTT RR 4,64 4,61 G
M01AE01 Ibuprofene 022593204 BRUFEN 30 cpr riv 400 mg 66 ABBOTT RR 4,64 4,61 G
M01AE01 Ibuprofene 022593139 BRUFEN 30 cpr riv 600 mg 66 ABBOTT RR 6,77 6,73 G
M01AE01 Ibuprofene 022593216 BRUFEN 30 cpr riv 600 mg 66 ABBOTT RR 6,77 6,73 G
M01AE01 Ibuprofene 022593103 BRUFEN 30 bust grat 600 mg 66 ABBOTT RR 7,50 7,45 G
M01AE01 Ibuprofene 034764023 SUBITENE 30 cpr eff 400 mg 66 UNIFARM RR 4,56 4,53 G
M01AE02 Naproxene 033294012 ALGONAPRIL 30 cpr 500 mg 66 EG RR 5,63 5,60 G
M01AE02 Naproxene 023437054 FLOGINAX 30 cpr 500 mg 66 TEOFARMA RR 6,37 6,33 G
M01AE02 Naproxene 024895043 FLOXALIN 30 cps 550 mg 66 BIOPROGRESS PHARMA RR 5,63 5,60 G
M01AE02 Naproxene 024895056 FLOXALIN 30 bust grat 550 mg 66 BIOPROGRESS PHARMA RR 5,63 5,60 G
M01AE02 Naproxene 023842103 GIBIXEN 30 bust polv os 500 mg 66 METAPHARMA RR 6,37 6,33 G
M01AE02 Naproxene 023886082 LASER R 20 cpr 750 mg retard 66 PRINCEPS RR 7,68 7,63 G
M01AE02 Naproxene 024667154 NAPRIUS 20 bust grat 500 mg 66 AESCULAPIUS RR 5,33 5,27 X
M01AE02 Naproxene 025800044 NAPROREX 30 cps 550 mg 66 LAMPUGNANI RR 6,37 6,33 G
M01AE02 Naproxene 023177189 NAPROSYN 20 cpr 750 mg rilascio modifica 66 RECORDATI RR 8,54 8,49 G
M01AE02 Naproxene 023177215 NAPROSYN "EC" 30 cpr gastrores 500 mg 66 RECORDATI RR 8,54 8,49 G
M01AE02 Naproxene 023177138 NAPROSYN 30 bust grat 500 mg 66 RECORDATI RR 7,97 7,92 G
M01AE02 Naproxene 034792010 NAPROXENE 30 cpr riv 550 mg 66 DOC GENERICI RR 5,63 5,60 G
M01AE02 Naproxene 027170012 NAPROXENE 30 cps 550 mg 66 DOROM RR 5,63 5,60 G
M01AE02 Naproxene 024505075 NAPROXENE 30 cpr 500 mg 66 PLIVA RR 5,63 5,60 G
M01AE02 Naproxene 024467058 PREXAN 30 cpr 500 mg 66 LA.FA.RE. RR 5,63 5,60 G
M01AE02 Naproxene 024467108 PREXAN 30 bust grat 500 mg 66 LA.FA.RE. RR 5,63 5,60 G
M01AE02 Naproxene 025082088 SYNALGO 30 cpr 500 mg 66 GEYMONAT RR 7,50 7,45 G
M01AE02 Naproxene 024722047 SYNFLEX "FORTE" 30 cpr riv 550 mg 66 RECORDATI RR 8,54 8,49 G
M01AE02 Naproxene 024722086 SYNFLEX "FORTE" 30 bust grat 550 mg 66 RECORDATI RR 7,97 7,92 G
M01AE02 Naproxene 023383033 XENAR 30 cpr 500 mg 66 ALFA WASSERMANN RR 7,68 7,63 G
M01AE03 Ketoprofene 032836049 ALKET 28 cps 200 mg rilascio prolunga 66 DIF-INT PHARMACEUTICAL BV RR 11,29 11,22 G
M01AE03 Ketoprofene 024022170 ARTROSILENE 6 fiale IM EV 160 mg 2 ml DOMPE` FARMACEUTICI RR 4,81 4,78
M01AE03 Ketoprofene 024022129 ARTROSILENE 20 cps 320 mg 66 DOMPE` FARMACEUTICI RR 10,93 10,79 X
M01AE03 Ketoprofene 034925053 DOLGOSIN 6 fiale IM 100 mg 2 ml BONISCONTRO & GAZZONE RR 3,61 3,59 G
M01AE03 Ketoprofene 034925040 DOLGOSIN 28 cps 200 mg rilascio prolunga 66 BONISCONTRO & GAZZONE RR 11,29 11,22 G
M01AE03 Ketoprofene 034393049 EUKETOS 28 cps 200 mg rilascio prolunga 66 C.T. LABORATORIO FARMACEUTICO RR 11,29 11,22 G
M01AE03 Ketoprofene 023401021 FLEXEN 30 cps 50 mg 66 ITALFARMACO RR 3,35 3,33 G
M01AE03 Ketoprofene 023401108 FLEXEN 6 fiale IM 100 mg + 6 fiale solv 2,5 ml ITALFARMACO RR 4,21 4,18 G
M01AE03 Ketoprofene 023401110 FLEXEN 30 cps 200 mg retard 66 ITALFARMACO RR 11,29 11,22 G
M01AE03 Ketoprofene 024994117 IBIFEN 30 cps 50 mg 66 I.B.I. LORENZINI RR 2,65 2,63 G
M01AE03 Ketoprofene 024994170 IBIFEN 30 bust grat eff 50 mg 66 I.B.I. LORENZINI RR 2,65 2,63 G
M01AE03 Ketoprofene 024994182 IBIFEN 6 fiale IM 100 mg 2,5 ml I.B.I. LORENZINI RR 3,61 3,59 G
M01AE03 Ketoprofene 024994081 IBIFEN 30 cps 100 mg 66 I.B.I. LORENZINI RR 5,07 5,04 G
M01AE03 Ketoprofene 024994168 IBIFEN 30 cpr 200 mg rilascio prolunga 66 I.B.I. LORENZINI RR 11,29 11,22 G
M01AE03 Ketoprofene 035072014 ISOFENAL 6 fiale IM 100 mg 2 ml SO.SE.PHARM RR 3,61 3,59 G
M01AE03 Ketoprofene 024494039 KETARTRIUM 30 cps 100 mg 66 ESSETI RR 5,07 5,04 G
M01AE03 Ketoprofene 032901047 KETOPLUS 28 cps 200 mg rilascio prolunga 66 S.F. GROUP RR 11,29 11,22 G
M01AE03 Ketoprofene 034306050 KETOPROFENE 30 cps 50 mg 66 DOC GENERICI RR 2,65 2,63 G
M01AE03 Ketoprofene 033519036 KETOPROFENE 30 cps 50 mg 66 EG RR 2,65 2,63 G
M01AE03 Ketoprofene 036468015 KETOPROFENE 6 fiale IM 100 mg/2,5 ml EG RR 3,61 3,59 G
M01AE03 Ketoprofene 035081013 KETOPROFENE 6 fiale IM 100 mg 2 ml UNION HEALTH RR 3,61 3,59 G
M01AE03 Ketoprofene 034306098 KETOPROFENE 30 cps 200 mg rilascio prolunga 66 DOC GENERICI RR 11,29 11,22 G
M01AE03 Ketoprofene 033519099 KETOPROFENE 28 cps 200 mg rilascio prolunga 66 EG RR 11,29 11,22 G
M01AE03 Ketoprofene 025149093 KETOPROFENE 30 cps 200 mg rilascio prolunga 66 SANDOZ RR 11,29 11,22 G
M01AE03 Ketoprofene 034877011 KETOSELECT 30 cps 50 mg 66 MENARINI RR 3,35 3,33 G
M01AE03 Ketoprofene 023655032 MEPROFEN 30 cps 100 mg 66 AGIPS RR 5,07 5,04 G
M01AE03 Ketoprofene 028511158 OKI 6 fiale 160 mg 2 ml DOMPE` RR 3,61 3,59 G
M01AE03 Ketoprofene 028511095 OKI 30 bust grat 80 mg 66 DOMPE` RR 4,75 4,72
M01AE03 Ketoprofene 023183027 ORUDIS 30 cps 50 mg 66 SANOFI-AVENTIS RR 3,35 3,33 G
M01AE03 Ketoprofene 023183205 ORUDIS 6 fiale IM 100 mg 2 ml SANOFI-AVENTIS RR 3,61 3,59 G
M01AE03 Ketoprofene 023183193 ORUDIS 30 cps rigide 200 mg rilascio pr 66 SANOFI-AVENTIS RR 11,29 11,22 G
M01AE03 Ketoprofene 024528022 REUPROFEN 20 cps 100 mg 66 LAB.TERAPEUTICO M.R. RR 3,93 3,91
M01AE09 Flurbiprofene 024284073 FROBEN scir 160 ml 0,5% 66 ABBOTT RR 3,46 3,44
M01AE09 Flurbiprofene 024284034 FROBEN 30 cpr riv 100 mg 66 ABBOTT RR 5,72 5,66 X
M01AE09 Flurbiprofene 024284123 FROBEN "SR" 20 cps 200 mg rilascio pro 66 ABBOTT RR 9,05 9,00 G
M01AE11 Acido tiaprofenico 025195025 SURGAMYL 30 cpr 300 mg 66 SCHARPER RR 8,07 7,97 X
M01AE11 Acido tiaprofenico 025195052 SURGAMYL 30 bust grat 300 mg 66 SCHARPER RR 8,07 7,97 X
M01AE12 Oxaprozina 027670013 WALIX 30 cpr 600 mg 66 FIDIA RR 9,02 8,92 X
M01AE14 Dexibuprofene 034765091 SERACTIL 30 cpr 300 mg 66 THERABEL GIENNE PHARMA RR 5,56 5,50 X X
M01AG01 Acido mefenamico 021015021 LYSALGO 30 cps 250 mg 66 SIT RR 3,20 3,18
M01AH01 Celecoxib 034624460 CELEBREX 20 cps 200 mg 66 PFIZER ITALIA RR 23,10 22,82 X
M01AH01 Celecoxib 034625602 SOLEXA 20 cps 200 mg 66 PFIZER ITALIA RR 23,10 22,82 X
M01AH05 Etoricoxib 035821305 ALGIX 5 cpr riv 120 mg 66 GENTILI RR 8,49 8,39 X
M01AH05 Etoricoxib 035821065 ALGIX 20 cpr riv 60 mg 66 GENTILI RR 28,01 27,67 X
M01AH05 Etoricoxib 035821204 ALGIX 20 cpr riv 90 mg 66 GENTILI RR 29,79 29,43 X
M01AH05 Etoricoxib 035820303 ARCOXIA 5 cpr riv 120 mg 66 MERCK SHARP & DOHME RR 8,49 8,39 X
M01AH05 Etoricoxib 035820063 ARCOXIA 20 cpr riv 60 mg 66 MERCK SHARP & DOHME RR 28,01 27,67 X
M01AH05 Etoricoxib 035820202 ARCOXIA 20 cpr riv 90 mg 66 MERCK SHARP & DOHME RR 29,79 29,43 X
M01AH05 Etoricoxib 035890425 TAUXIB 5 cpr riv 120 mg 66 ADDENDA PHARMA RR 8,49 8,39 X
M01AH05 Etoricoxib 035890060 TAUXIB 20 cpr riv 60 mg 66 ADDENDA PHARMA RR 28,01 27,67 X
M01AH05 Etoricoxib 035890209 TAUXIB 20 cpr riv 90 mg 66 ADDENDA PHARMA RR 29,79 29,43 X
M01AX01 Nabumetone 026672079 ARTAXAN 30 cpr riv 1 g 66 MALESCI RR 17,77 17,55 X
M01AX01 Nabumetone 026672081 ARTAXAN 30 bust grat 1 g 66 MALESCI RR 17,77 17,55 X
M01AX01 Nabumetone 026673057 NABUSER 30 cpr riv 1 g 66 GEYMONAT RR 19,30 19,06 X
M01AX01 Nabumetone 026673069 NABUSER 30 bust grat 1 g 66 GEYMONAT RR 19,30 19,06 X
M01AX01 Nabumetone 033500012 RELIFEX 30 cpr riv 1 g 66 MEDA A.B. RR 17,77 17,55 X
M01AX17 Nimesulide 029074010 ALGIMESIL 30 bust grat 100 mg 66 FRANCIA RR 2,62 2,60 G
M01AX17 Nimesulide 029074022 ALGIMESIL 30 cpr 100 mg 66 FRANCIA RR 2,62 2,60 G
M01AX17 Nimesulide 028509026 ALGOLIDER 30 bust grat 100 mg 66 SIAR PHARMA RR 4,15 4,13 G
M01AX17 Nimesulide 033522018 AREUMA 30 cpr 100 mg 66 ECOBI RR 2,62 2,60 G
M01AX17 Nimesulide 033522032 AREUMA 30 bust grat 100 mg 66 ECOBI RR 2,62 2,60 G
M01AX17 Nimesulide 025940026 AULIN 30 cpr 100 mg 66 ROCHE RR 4,43 4,40 G
M01AX17 Nimesulide 025940053 AULIN 30 bust grat 100 mg 66 ROCHE RR 4,43 4,40 G
M01AX17 Nimesulide 034265013 DELFOS 30 bust grat 100 mg 66 AGIPS RR 2,98 2,96 G
M01AX17 Nimesulide 032963035 DIMESUL 30 bust grat 100 mg 66 SARDA PHARMACEUTICA RR 2,62 2,60 G
M01AX17 Nimesulide 029478017 DOMES 30 bust grat 100 mg 66 SO.SE.PHARM RR 2,62 2,60 G
M01AX17 Nimesulide 029478056 DOMES 30 cpr orodispers 100 mg 66 SO.SE.PHARM RR 3,52 3,50 G
M01AX17 Nimesulide 032932030 EFRIDOL 30 bust grat 100 mg 66 AESCULAPIUS RR 2,62 2,60 G
M01AX17 Nimesulide 029395011 EUDOLENE 30 bust grat 100 mg 66 I.B.N. SAVIO RR 2,62 2,60 G
M01AX17 Nimesulide 034029013 FANSULIDE 30 cpr 100 mg 66 SOFAR RR 2,62 2,60 G
M01AX17 Nimesulide 034029025 FANSULIDE 30 bust grat 100 mg 66 SOFAR RR 2,62 2,60 G
M01AX17 Nimesulide 028778013 FLOLID 30 cpr 100 mg 66 C.T. LABORATORIO FARMACEUTICO RR 2,62 2,60 G
M01AX17 Nimesulide 028778037 FLOLID 30 bust grat 100 mg 66 C.T. LABORATORIO FARMACEUTICO RR 2,62 2,60 G
M01AX17 Nimesulide 034200016 IDEALID 30 cpr 100 mg 66 ALMUS RR 2,62 2,60 G
M01AX17 Nimesulide 034200028 IDEALID 30 bust grat 100 mg 66 ALMUS RR 2,62 2,60 G
M01AX17 Nimesulide 032337038 ISODOL 30 bust grat 100 mg 66 MAGIS RR 2,62 2,60 G
M01AX17 Nimesulide 028519015 LEDOREN 30 cpr 100 mg 66 BONISCONTRO & GAZZONE RR 2,62 2,60 G
M01AX17 Nimesulide 028519039 LEDOREN 30 bust grat 100 mg 66 BONISCONTRO & GAZZONE RR 2,62 2,60 G
M01AX17 Nimesulide 025971021 MESULID 30 cpr 100 mg 66 HELSINN BIREX RR 4,43 4,40 G
M01AX17 Nimesulide 025971058 MESULID 30 bust grat 100 mg 66 HELSINN BIREX RR 4,43 4,40 G
M01AX17 Nimesulide 029127026 MESULID FAST 30 bust grat 400 mg 66 HELSINN BIREX RR 11,31 11,24 G
M01AX17 Nimesulide 035244019 MIGRALESS 30 cpr orodispers 100 mg 66 TAD PHARMA RR 5,04 5,01 G
M01AX17 Nimesulide 033078015 NERELID 30 cps 100 mg 66 NEW RESEARCH RR 2,62 2,60 G
M01AX17 Nimesulide 033078027 NERELID 30 bust grat 100 mg 66 NEW RESEARCH RR 2,62 2,60 G
M01AX17 Nimesulide 029120021 NIMEDEX 30 bust grat 400 mg 66 ITALFARMACO RR 11,95 11,81 X X
M01AX17 Nimesulide 032857029 NIMENOL 30 bust grat 100 mg 66 KRUGHER RR 2,62 2,60 G
M01AX17 Nimesulide 029375021 NIMESIL 30 bust grat 100 mg 66 LUSOFARMACO RR 4,43 4,40 G
M01AX17 Nimesulide 029007046 NIMESULENE 30 cpr 100 mg 66 GUIDOTTI RR 4,07 4,05 G
M01AX17 Nimesulide 029007059 NIMESULENE 30 bust grat 100 mg 66 GUIDOTTI RR 4,07 4,05 G
M01AX17 Nimesulide 033702022 NIMESULIDE 30 bust grat 100 mg 66 ALLEN RR 2,62 2,60 G
M01AX17 Nimesulide 032326023 NIMESULIDE 30 bust grat 100 mg 66 ALTER RR 2,62 2,60 G
M01AX17 Nimesulide 032923017 NIMESULIDE 30 bust grat 100 mg 66 ANGENERICO RR 2,62 2,60 G
M01AX17 Nimesulide 028921029 NIMESULIDE 30 bust grat 100 mg 66 BENEDETTI RR 2,62 2,60 G
M01AX17 Nimesulide 033578016 NIMESULIDE 30 cpr 100 mg 66 DOC GENERICI RR 2,62 2,60 G
M01AX17 Nimesulide 033578042 NIMESULIDE 30 bust grat 100 mg 66 DOC GENERICI RR 2,62 2,60 G
M01AX17 Nimesulide 032983025 NIMESULIDE 30 bust grat 100 mg 66 DOROM RR 2,62 2,60 G
M01AX17 Nimesulide 033649017 NIMESULIDE 30 cpr 100 mg 66 EG RR 2,62 2,60 G
M01AX17 Nimesulide 033649029 NIMESULIDE 30 bust grat 100 mg 66 EG RR 2,62 2,60 G
M01AX17 Nimesulide 034245011 NIMESULIDE 30 cpr 100 mg 66 HEXAL RR 2,62 2,60 G
M01AX17 Nimesulide 034245023 NIMESULIDE 30 bust grat 100 mg 66 HEXAL RR 2,62 2,60 G
M01AX17 Nimesulide 033089018 NIMESULIDE 30 bust grat 100 mg 66 JET GENERICI RR 2,62 2,60 G
M01AX17 Nimesulide 033052010 NIMESULIDE 30 cpr 100 mg 66 MERCK GENERICS RR 2,62 2,60 G
M01AX17 Nimesulide 033052034 NIMESULIDE 30 bust grat 100 mg 66 MERCK GENERICS RR 2,62 2,60 G
M01AX17 Nimesulide 033950015 NIMESULIDE 30 cpr 100 mg 66 PLIVA RR 2,62 2,60 G
M01AX17 Nimesulide 033950027 NIMESULIDE 30 bust grat 100 mg 66 PLIVA RR 2,62 2,60 G
M01AX17 Nimesulide 033673017 NIMESULIDE 30 cpr 100 mg 66 RATIOPHARM GMBH RR 2,62 2,60 G
M01AX17 Nimesulide 033673029 NIMESULIDE 30 bust grat 100 mg 66 RATIOPHARM GMBH RR 2,62 2,60 G
M01AX17 Nimesulide 033673043 NIMESULIDE 30 cpr eff 100 mg 66 RATIOPHARM GMBH RR 2,62 2,60 G
M01AX17 Nimesulide 032095010 NIMESULIDE 30 bust grat 100 mg 66 SANDOZ RR 2,62 2,60 G
M01AX17 Nimesulide 032095022 NIMESULIDE 30 cps 100 mg 66 SANDOZ RR 2,62 2,60 G
M01AX17 Nimesulide 033048012 NIMESULIDE 30 cpr 100 mg 66 TEVA RR 2,62 2,60 G
M01AX17 Nimesulide 033048036 NIMESULIDE 30 bust grat 100 mg 66 TEVA RR 2,62 2,60 G
M01AX17 Nimesulide 035106018 NIMESULIDE 30 cpr 100 mg 66 UNION HEALTH RR 2,62 2,60 G
M01AX17 Nimesulide 035106020 NIMESULIDE 30 bust grat 100 mg 66 UNION HEALTH RR 2,62 2,60 G
M01AX17 Nimesulide 029198013 NIMESULIDE 30 bust grat 100 mg 66 MIPHARM RR 2,62 2,60 G
M01AX17 Nimesulide 029198025 NIMESULIDE 30 cpr 100 mg 66 MIPHARM RR 2,62 2,60 G
M01AX17 Nimesulide 028546012 NIMS 30 bust grat 100 mg 66 CABER RR 2,62 2,60 G
M01AX17 Nimesulide 029477015 NOALGOS 30 bust grat 100 mg 66 LEVOFARMA RR 3,60 3,58 G
M01AX17 Nimesulide 036384016 PANTAMES 30 cpr orodispers 100 mg 66 PANTAFARM RR 2,62 2,60 G
M01AX17 Nimesulide 028799017 REMOV 30 cpr 100 mg 66 VECCHI & PIAM RR 4,43 4,40 G
M01AX17 Nimesulide 028799031 REMOV 30 bust grat 100 mg 66 VECCHI & PIAM RR 4,43 4,40 G
M01AX17 Nimesulide 028510016 RESULIN 30 cpr 100 mg 66 ICI RENDE RR 2,62 2,60 G
M01AX17 Nimesulide 028510028 RESULIN 30 bust grat 100 mg 66 ICI RENDE RR 2,62 2,60 G
M01AX17 Nimesulide 032930012 SOLVING 30 cpr 100 mg 66 MDM RR 2,62 2,60 G
M01AX17 Nimesulide 032930036 SOLVING 30 bust grat 100 mg 66 MDM RR 2,62 2,60 G
M01AX17 Nimesulide 028705022 SULIDAMOR 30 bust grat 100 mg 66 DAMOR RR 2,62 2,60 G
M01AX17 Nimesulide 028705046 SULIDAMOR 30 cpr 100 mg 66 DAMOR RR 2,62 2,60 G
M01AX17 Nimesulide 029125010 SULIDE 30 cpr 100 mg 66 TAD PHARMA RR 2,62 2,60 G
M01AX17 Nimesulide 029125022 SULIDE 30 bust grat 100 mg 66 TAD PHARMA RR 2,62 2,60 G
M01CB02 Aurotiosolfato sodico 009333093 FOSFOCRISOLO 5 fiale IM 100 mg 1 ml ZAMBON RR 21,33 21,07 X
M01CB03 Auranofina 025189010 RIDAURA 30 cpr riv 3 mg ASTELLAS RR 17,98 17,76 X
M01CC01 Penicillamina 022848016 PEMINE 50 cps 150 mg ELI LILLY RR 6,80 6,72 X
M03BX01 Baclofene 022999027 LIORESAL 50 cpr 25 mg NOVARTIS FARMA RR 14,33 14,15 X X
M03CA01 Dantrolene sodico 024372017 DANTRIUM 50 cps 25 mg FORMENTI RR 8,90 8,80 X X
M03CA01 Dantrolene sodico 024372029 DANTRIUM 50 cps 50 mg FORMENTI RR 17,43 17,23 X X
M04AA01 Allopurinolo 022441036 ALLOPURINOLO 50 cpr 100 mg MOLTENI RR 2,07 2,06 G
M04AA01 Allopurinolo 033518010 ALLOPURINOLO 50 cpr 100 mg TEVA RR 2,07 2,06 G
M04AA01 Allopurinolo 022441048 ALLOPURINOLO 30 cpr 300 mg MOLTENI RR 2,26 2,25 G
M04AA01 Allopurinolo 033518022 ALLOPURINOLO 30 cpr 300 mg TEVA RR 2,26 2,25 G
M04AA01 Allopurinolo 022051015 ALLURIT 40 cpr 150 mg TEOFARMA RR 3,20 3,18
M04AA01 Allopurinolo 021259027 ZYLORIC 30 cpr 300 mg GLAXOSMITHKLINE RR 2,92 2,90 G
M04AC01 Colchicina 009964038 COLCHICINA LIRCA 60 cpr 1 mg ACARPIA SERVICOS RR 7,14 7,10 G
M04AX Piperazina 011172020 CITROPIPERAZINA 20 bust grat eff 6 g BRUNO FARMACEUTICI RR 3,40 3,38
M05BA Sodio neridronato 035268010 NERIXIA 1 fiala 25 mg ABIOGEN PHARMA RR 14,65 14,47 X X
M05BA01 Acido etidronico 023389012 ETIDRON 30 cps 300 mg 42 ABIOGEN PHARMA RR 28,24 27,90 X X
M05BA02 Acido clodronico 035030028 ACIDO CLODRONICO 6 fiale EV 300 mg 10 ml 42 SANDOZ RR 63,18 62,80 G
M05BA02 Acido clodronico 026372058 CLASTEON 10 cps 400 mg 42 ABIOGEN PHARMA RR 26,17 26,01 G
M05BA02 Acido clodronico 026372033 CLASTEON 6 fiale EV 300 mg 42 ABIOGEN PHARMA RR 63,18 62,80 G
M05BA02 Acido clodronico 034721050 CLODRON 10 cps 400 mg 42 FIDIA RR 26,17 26,01 G
M05BA02 Acido clodronico 035129030 CLODRONATO 6 fiale EV 300 mg 10 ml 42 ABC RR 63,18 62,80 G
M05BA02 Acido clodronico 034294037 CLODY 6 fiale EV 300 mg 10 ml 42 PROMEDICA RR 63,18 62,80 G
M05BA02 Acido clodronico 026510053 DIFOSFONAL 10 cps 400 mg 42 SPA RR 26,17 26,01 G
M05BA02 Acido clodronico 026510038 DIFOSFONAL 6 fiale EV 300 mg 10 ml 42 SPA RR 63,18 62,80 G
M05BA02 Acido clodronico 035044039 MOTICLOD 6 fiale EV 300 mg 10 ml 42 LISAPHARMA RR 80,32 79,84 G
M05BA04 Acido alendronico 029053030 ADRONAT 14 cpr 10 mg 79 NEOPHARMED RR 17,22 17,02 X
M05BA04 Acido alendronico 029053079 ADRONAT "70" 4 cpr 70 mg 79 NEOPHARMED RR 24,05 23,91 G
M05BA04 Acido alendronico 037084086 ALENDRONATO 4 cpr 70 mg 79 PLIVA RR 22,51 22,37 G
M05BA04 Acido alendronico 037085089 ALENDRONATO 4 cpr 70 mg 79 RATIOPHARM GMBH RR 22,51 22,37 G
M05BA04 Acido alendronico 029051036 ALENDROS 14 cpr 10 mg 79 ABIOGEN PHARMA RR 11,79 11,65 X X
M05BA04 Acido alendronico 029051075 ALENDROS "70" 4 cpr 70 mg 79 ABIOGEN PHARMA RR 24,05 23,91 G
M05BA04 Acido alendronico 029054032 DRONAL 14 cpr 10 mg 79 SIGMATAU RR 17,22 17,02 X
M05BA04 Acido alendronico 029054071 DRONAL 4 cpr 70 mg 79 SIGMATAU RR 24,05 23,91 G
M05BA04 Acido alendronico 029052038 FOSAMAX 14 cpr 10 mg 79 MERCK SHARP & DOHME RR 17,22 17,02 X
M05BA04 Acido alendronico 029052077 FOSAMAX "70" 4 cpr 70 mg 79 MERCK SHARP & DOHME RR 24,05 23,91 G
M05BA04 Acido alendronico 034172015 GENALEN 14 cpr 10 mg 79 GENTILI RR 17,22 17,02 X
M05BA04 Acido alendronico 034172054 GENALEN "70" 4 cpr 70 mg 79 GENTILI RR 24,05 23,91 G
M05BA06 Acido ibandronico 036899019 BONVIVA 1 cpr riv 150 mg 79 ROCHE REGISTRATION Ltd RR 43,70 43,18 X X
M05BA07 Sodio risedronato 034568030 ACTONEL 28 cpr riv 5 mg 79 PROCTER & GAMBLE RR 32,00 31,62 X X
M05BA07 Sodio risedronato 034568105 ACTONEL 4 cpr riv 35 mg 79 PROCTER & GAMBLE RR 36,34 35,90 X X
M05BA07 Sodio risedronato 034570034 OPTINATE 28 cpr riv 5 mg 79 LEPETIT RR 32,00 31,62 X X
M05BA07 Sodio risedronato 034570109 OPTINATE 4 cpr riv 35 mg 79 LEPETIT RR 36,34 35,90 X X
M05BB03 Acido alendronico/colecalc 036845028 FOSAVANCE 4 cpr 70 mg/70 mcg 79 MERCK SHARP & DOHME (UK) RR 41,07 40,57 X X
M05BX03 Stronzio ranelato 036588034 OSSEOR 28 bust 2 g 79 LABORATOIRES SERVIER (FR) RR 50,96 50,34 X X
M05BX03 Stronzio ranelato 036558031 PROTELOS 28 bust os sosp 2 g 79 LABORATOIRES SERVIER (FR) RR 50,96 50,34 X X
N02AA Oxicodone/ paracetamolo 035313028 DEPALGOS 28 cpr riv 5 mg + 325 mg MOLTENI RMR 15,30 15,12 X X
N02AA Oxicodone/ paracetamolo 035313055 DEPALGOS 28 cpr riv 10 mg + 325 mg MOLTENI RMR 15,30 15,12 X X
N02AA Oxicodone/ paracetamolo 035313081 DEPALGOS 28 cpr riv 20 mg + 325 mg MOLTENI RMR 15,30 15,12 X X
N02AA01 Morfina cloridrato 029611047 MORFINA CLORIDRAT1 fiala 10 mg 1 ml MOLTENI RMR 1,60 1,59
N02AA01 Morfina cloridrato 030798033 MORFINA CLORIDRAT1 fiala 10 mg 1 ml MONICO RMR 1,60 1,59
N02AA01 Morfina cloridrato 029611050 MORFINA CLORIDRAT1 fiala 20 mg 1 ml MOLTENI RMR 1,65 1,64
N02AA01 Morfina cloridrato 030798045 MORFINA CLORIDRAT1 fiala 20 mg 1 ml MONICO RMR 1,65 1,64
N02AA01 Morfina cloridrato 029611124 MORFINA CLORIDRAT1 fiala 50 mg 5 ml MOLTENI RMR 4,13 4,11
N02AA01 Morfina cloridrato 030677013 MORFINA CLORIDRAT5 fiale 10 mg 1 ml SALF RMR 2,89 2,87
N02AA01 Morfina cloridrato 029611023 MORFINA CLORIDRAT5 fiale 10 mg 1 ml MOLTENI RMR 3,46 3,44
N02AA01 Morfina cloridrato 030677025 MORFINA CLORIDRAT5 fiale 20 mg 1 ml SALF RMR 4,39 4,36
N02AA01 Morfina cloridrato 030798019 MORFINA CLORIDRAT5 fiale 10 mg 1 ml MONICO RMR 4,75 4,72
N02AA01 Morfina cloridrato 029611035 MORFINA CLORIDRAT5 fiale 20 mg 1 ml MOLTENI RMR 4,90 4,87
N02AA01 Morfina cloridrato 030798021 MORFINA CLORIDRAT5 fiale 20 mg 1 ml MONICO RMR 6,85 6,77 X
N02AA01 Morfina cloridrato 034715033 TICINAN 20 cpr riv 10 mg rilascio prolungato PRODOTTI FORMENTI RMR 4,65 4,62
N02AA01 Morfina cloridrato 034715108 TICINAN 20 cpr riv 30 mg rilascio prolungato PRODOTTI FORMENTI RMR 9,11 9,01 X X
N02AA01 Morfina cloridrato 034715173 TICINAN 20 cpr riv 60 mg rilascio prolungato PRODOTTI FORMENTI RMR 16,93 16,73 X X
N02AA01 Morfina cloridrato 034715247 TICINAN 20 cpr riv 100 mg rilascio prolungato PRODOTTI FORMENTI RMR 22,85 22,57 X X
N02AA01 Morfina cloridrato 034715312 TICINAN 20 cpr riv 200 mg rilascio prolungato PRODOTTI FORMENTI RMR 45,70 45,16 X X
N02AA01 Morfina solfato 025624014 MS CONTIN 16 cpr 10 mg rilascio prolungato MUNDIPHARMA RMR 4,96 4,93
N02AA01 Morfina solfato 025624026 MS CONTIN 16 cpr 30 mg rilascio prolungato MUNDIPHARMA RMR 9,23 9,11 X
N02AA01 Morfina solfato 025624038 MS CONTIN 16 cpr 60 mg rilascio prolungato MUNDIPHARMA RMR 17,17 16,97 X
N02AA01 Morfina solfato 025624040 MS CONTIN 16 cpr 100 mg rilascio prolungato MUNDIPHARMA RMR 22,85 22,57 X
N02AA01 Morfina solfato 031507015 ORAMORPH scir 100 ml 2 mg/ml MOLTENI RMR 4,75 4,72
N02AA01 Morfina solfato 031507104 ORAMORPH scir 20 ml 20 mg/ml MOLTENI RMR 8,44 8,34 X X
